LOCALIZACIÓN:,BARCELONA,,,,,,,,,,,,
PRODUCTO:,MIXOU,,,,,,,,,,,,
TIPO DE ENVÍO:,2COL,,,,,,,,,,,,
FENVIO:,2025-08-29,,,,,,,,,,,,
HEADER:,https://houdinis.atrapalo.com/houdinis/wp-content/uploads/2025/11/Header-25-08-69.png,,,,,,,,,,,,
LINK HEADER:,https://www.atrapalo.com/actividades/barcelona/?atr_trk=N1-20250829-COM_290825_MIXOU_BCN_PlanesconAmigos,,,,,,,,,,,,
ASUNTO:,¿Planes con amigos? Tenemos lo que el grupo necesita.,,,,,,,,,,,,
PREHEADER:,De caipiriñas frente al mar a vivir dentro de un videojuego. Aquí no se viene a aburrirse.,,,,,,,,,,,,
TXT_BOTON_FOOTER:,Sigue explorando,,,,,,,,,,,,
LINK_FOOTER:,https://www.atrapalo.com/actividades/barcelona/?atr_trk=N1-20250829-COM_290825_MIXOU_BCN_PlanesconAmigos,,,,,,,,,,,,
BANNER_FOOTER:,https://houdinis.atrapalo.com/houdinis/wp-content/uploads/2025/11/Header-25-08-69.png,,,,,,,,,,,,
LINK_BANNER_FOOTER:,https://www.atrapalo.com/actividades/barcelona/?atr_trk=N1-20250829-COM_290825_MIXOU_BCN_PlanesconAmigos,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Orden,Nombre Oferta,Metadato 1,Metadato 2,Descripción,URL foto,URL oferta,Descuento,Precio,Precio ATR,TAGS,RATING,SEPARADOR,SEPARADOR IMG
1,Brunch con DJ y bebidas sin límite,Hotel Negresco Princess 4* ,Barcelona,"Déjate seducir por sabores únicos, buena música y vistas cautivadoras, en una encantadora terraza.",https://cdn.atrapalo.com/o/event/4885742/1620651.jpg?auto=avif&width=1024&quality=75,https://www.atrapalo.com/actividades/brunch-con-dj-y-bebidas-sin-limite-en-negresco-princess_e4885742/,4,45,43,Sin tag,10 - Extraordinario,,
2,"Caipiriña, hamburguesas y vistas al mar",Hotel Negresco Princess 4* ,Barcelona,"Pasa una tarde sabrosa junto al mar con hamburguesa, cóctel refrescante y un ambiente relajado.",https://cdn.atrapalo.com/o/event/4899228/1508075.jpg?auto=avif&width=1024&quality=75,https://www.atrapalo.com/actividades/caipirina-hamburguesas-y-vistas-al-mar-en-jardinet-del-mar_e4899228/,33,18,12,Sin tag,10 - Extraordinario,,
3,Tinder Sorpresa,Jardinet del Mar ,Barcelona,"Andreu Casanova te lleva a un safari cómico por las apps de ligoteo que han cambiado la forma de ""relaionarse"".",https://cdn.atrapalo.com/o/event/4917024/1634306.jpg?auto=avif&width=1024&quality=75,https://www.atrapalo.com/entradas/tinder-sorpresa-andreu-casanova-en-barcelona_e4917024/,,,17,Oferta exclusiva,10 - Extraordinario,,
